手順ID,実施タイミング,カテゴリ,目的,推奨環境,前提_データと設定,手順_上から順に実施,完了の見極め,想定分,除外メモ_自動テストで担保するため本表に含めない,実施日,試験結果,証跡メモ
MN-000,導入,方針,"手動表の使い方を固定する。unit/integration は毎回 CI / ローカルで通す。本表は人が行う層だけ","local / staging",なし,"①本CSVの行を上から、または「実施タイミング」列で並べ替えて空欄の実施日を埋める②同一目的で行き詰まったら「除外メモ」列を読む",表のPASSが埋まる,10分,"vitest および local integration の対象外のみ記載",,,
MN-001,今すぐ,権限と導線,"未ログイン・非管理者・正規管理者の3通りの入口が想定通り",staging 推奨,"保護URL一覧（/admin 配下）を1つ決める。テスト用アカウント3種（未ログイン/ログイン非admin/app_admins）","①シークレット/別ブラウザで未ログイン→保護URL→ログインへ誘導②非adminで保護URL→拒否（403/リダイレクト）③app_adminsで同URL→管理画面表示",3ケースで期待どおり,20分,"AL-001〜003 相当。APIスタブではなく人がCookieで確認",,,
MN-002,今すぐ,レスポンシブ,"主要画面のレイアウトが破綻しない",staging または本番,スマホ1台とPC1台,"①公開のカレンダー/予約フォーム②管理の一覧・詳細を各デバイスで表示③フォームは縦持ち/キーボード表示時も主要ボタンが押せる",主要フローで表示崩れ・隠れなし,30分,"画面CSSの目視。unit 対象外",,,
MN-003,今すぐ,予約UI,"必須・相関バリデーションが利用者向けに止まる",local または staging,開催日が1件 open でよい,"①枠未選択で送信不可②参加人数1未満/整数で不可③昼食全0で不可（必須仕様のとき）④エラー文が上または該当欄近くに出る",各ケースで送信に進まず分かる,20分,"RSV-001〜003 UI 部分。APIの境界は integration あり",,,
MN-004,今すぐ,予約E2E,"人が一連の予約で画面・URL・表示が一貫する",staging,メール受信可能な自アドレス1件,"①受付中の枠を選び必須入力で送信②完了画面/メール到達（宛先）③戻る・再読み込みで不整合が出ない",完了画面とメール文面（チーム名・日付等）に齟齬なし,40分,"RSV-010の画面・mail。RPC成功は integration 担保",,,
MN-005,今すぐ,重複操作,"二重クリックで予約が二重登録されない",staging,開催枠1,"①送信中に申込ボタンを連打②NetworkでPOSTが1回③DB上（管理画面）予約1件",重複行なし,15分,"RSV-011",,,
MN-006,今すぐ,管理_開催日,"管理者が開催日を作り枠が想定本数/表示される",staging,app_admins,"①管理から開催日新規（日付・学年帯・締切必須）②作成直後の枠一覧/カレンダー掲載を確認",公開側に意図した枠本数。draft/openの見え方が方針通り,30分,"API POST の成否の細部は他テスト。ここはUI一連",,,
MN-007,今すぐ,管理_一覧,"一覧・日付表記の読みやすさ・表示崩れ",staging,開催日が2件以上混在,"①日付降順/状態タグ②モバイルで表が折り返す③長い文字列",運用者が会話不要で日付を誤解しない,20分,"ダッシュ専用。staging-smokeの数値的検証に依らない見え方",,,
MN-008,今すぐ,実メール_到達,"Resend・送信元ドメインで本当に届く/迷惑に入りすぎない",staging/本番,"RESEND・FROM・OPS宛が本番用に設定","①自メール1件の予約完了を実送信②Gmail/常用クライアントで開封③件名差出人本文に「テスト/本番」と誤解がない",受信 or 迷惑フォルダで発見。本文コードがメール上で壊れない,20分,"integration は Resend モック/ダミー",,,
MN-009,今すぐ,実メール_不着,"到達保証は無い事を運用に織り込めている",staging,OPS宛 or 手順書,"①誤アドレスで予約可能なら1件②管理の通知一覧/失敗行が業務的に辿れる案内（社内文書1行）を確認",着不定でも「次にやる事」が手順で書かれている,10分,"Webhookなし。バウンス非同期。救済＝問い合わせ・再送方針の文面確認",,,
MN-010,Cron待ち前,日付合わせ,"2日待ちの対象日が東京日付基準で噛み合う",staging,"別紙のシナリオA（催行3チーム）とB（不催行2チーム）。カレンダー2枚分使う日付","①開催日Eと締切E-2 15:00JST前後に相当する旨を人が登録。予約はAなら3件/ Bなら2件②Eと締切を手書きメモ1枚に書く。毎朝メモの「今日」と実カレンダーを照合",登録物が当日のVercel Cron日付条件と一致,30分,"日付合わせは人が作る。Cronロジックの正しさは integration 済。ここは運用日付合わせ",,,
MN-011,1日目_Cron前,待ち1日目,"JST 午前中に不変であることの確認。誤操作でデータが壊れていない",staging,シナリオA 実行中,"①同開催日の管理画面を開きステータスがまだ想定内（多く open）②他者が同開催日を壊しうる操作をしていない",締切前のまま/意図した件数,15分,"状態遷移のコードは手動未検証。UIで安心材料",,,
MN-012,1日目_Cron後,待ち1日目,"JOB01(15:00) JOB02(15:01)が走った**日**のログ/結果を見る。手でGETは**しない**",staging,シナリオA,"①Vercel/ホストの**スケジュール実行**またはメール/DBで副作用②必要なら**翌**に続く。手動APIで突っ込まない方針なら**ログ**だけ見る",該当時刻前後の実行ログ。または**locked/confirmed 等**がDB/画面で変化,20分/日,"**スケジューラ**は integration の擬似リクエストと層が違う。手で cron GET を**しない**前提",,,
MN-013,2日目,待ち2日目,"2日前**当日**JST 16:00 前後の**マッチング案内**",staging,シナリオA 継続,"①当日JST**カレンダー**がE-2であると再確認②案内が届くか/届かなければnotifications・迷惑③「Sent」のみ表示時は**着手なし**の社内方針を確認",利用者or運営の受信・**もしく**管理に失敗可視,30分,integration はモック送信。**実配信と時計**は手動,,,
MN-014,2日目,待ち2日目,"E-1 の前日**最終** JST 16:30 前後（利用者向け目安 17:30 まで）",staging,同,"①E-1 当日であると確認②**前日**メールが**実**に届く③雨天/分岐の仕込みをしているなら該当variantの文面",本文が期待分岐,30分,"同上。JOB03の**実スケジュール**",,,
MN-015,2日目以降,不催行シナリオ,"2チームのみ。締切到達で**不催行**と利用者**最少催行**文面",staging,シナリオB 前提で登録済み,"①締切後、管理で **cancelled_minimum** と通知②**代表宛**の最少催行メールが**実**に到達③一覧の見え方",利用者文面のトーン/誤解なし,40分,"CK-011 ロジックは integration 済。**実メールと文言**は手動",,,
MN-016,今すぐまたは待ち中,通話・救済,"**締切**後も open 残りの**救済導線**（運用で使うなら）",staging,管理者1,"①**故意に** open のままにしたテスト1件があれば、管理の「締切**catchup**」を画面から実行②結果が locked または minimum に**変わる**",業務上の**手当て**可能。画面が誤解を招かない,20分,RPCの成否の機械的検証は別。**画面と運用手順**が主",,,
MN-017,今すぐ,多ブラウザ,"主ブラウザ2種で致命的に壊れない",staging,なし,"①主要フロー（予約/管理1画面）をChrome+SafariまたはEdge+Chrome",片方でだけJS落ち/白画面でない,20分,単体E2E自動化なし,,,
MN-018,今すぐ,本番想定URL,"本番/Preview**ドメイン**のリンク・**パス**・**QR**",本番/Preview,デプロイ完了,"①メール中リンクが本番URL。②?code=ログイン。③`NEXT_PUBLIC_SITE_URL` 誤りが画面に**露呈**していない",リンク誤飛びなし,20分,ミドルウェア・Originは**デプロイ**固有,,,
MN-019,今すぐ,RLS_体感,"**別ユーザー**で**他人予約**が**見えない**",staging,公開ユーザー2人分,"①ユーザーAの予約②ユーザーBで**同じ**URL/照会**しない**。③Bが**勝手**にAの**詳細**を開けない",Bから A の**個人情報**非表示,30分,integration は**service**前提。**anon+実Cookie**",,,
MN-020,今すぐ,運営_通知再送,"**failed 通知**を**管理**から**再送**可能（実在するなら）",staging,app_admins,"①失敗1件を**意図的**に出せる状況なら②notifications画面から再送③**届く**",再送1通の実物。審判は人,20分,integration **再送**は**モック管理者**。**実セッション**",,,
MN-021,今すぐ,天候/運用,"**画面**の雨天・運用中止導線が人が**迷わない**",staging,上級者,"①**仕様**に従い天候/運用を1パターン**実施**（テスト専用開催日推奨）②利用者/管理者の**最終的な**画面文言",**オペ判断**可能な文面,40分,API 200 系は integration 済。**導線と**実**メール**",,,
MN-022,待ち中,差し込み,UI 修正**後**の**回帰**（**触った**画面に限定）,staging,デプロイ反映後,"①**変更**した画面だけ**5分**スモーク（開く/主要操作1手）",変更箇所**だけ**新規不具合なし,5〜15分/回,"**継続的**。自動 E2E 外",,,
MN-023,最終,受入,2日待ち通しの日記1枚（証跡用）,staging,メモに開催日EとシナリオA・Bの実施日,"①Vercelログか受信メールで該当Cron日を記録②本表に実施日とPASSと証跡3文字（例:メ着/ログ有）",担当交代でも同じ用紙で再開できる,15分,台帳作業,,,
MN-024,最終,リリース,本番初週の監視方針（人）,本番,オンメール/オンチャット,"①Sentry/ダッシュ当番表②最少量催行/メール不達の一次連絡先（電話/チャット名）",紙またはチャンネルに当番外の見方が書いている,20分,運用。自動化対象外,,,
